caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
菟,tu4,t,u,Simple,oral,4,0,t,Dentale,3P
菠,bo1,b,o,Simple,oral,1,0,b,Labiale,1P+2N
菡,han4,h,an,Nasal,nasal,4,1,h,Vélaire,2P+1N
菢,bao4,b,ao,Simple,oral,4,0,b,Labiale,1P+2N
菣,qin4,q,in,Médiale-i,nasal,4,1,q,Palatale,2P+1N
菥,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
菧,di3,d,i,Simple,oral,3,0,d,Dentale,1P+2N
菩,pu2,p,u,Simple,oral,2,0,p,Labiale,2P+1N
菪,dang4,d,ang,Nasal,nasal,4,1,d,Dentale,1P+2N
菫,jin3,j,in,Médiale-i,nasal,3,1,j,Palatale,1P+2N
菰,gu1,g,u,Simple,oral,1,0,g,Vélaire,1P+2N
菱,ling2,l,ing,Médiale-i,nasal,2,1,l,Dentale,3P
菲,fei3,f,ei,Simple,oral,3,0,f,Labiale,2P+1N
菶,beng3,b,eng,Nasal,nasal,3,1,b,Labiale,1P+2N
菷,zhou3,zh,ou,Simple,oral,3,0,zh,Rétroflexe,1P+2N
菸,yu1,y,ü,Simple,oral,1,0,y,Semi-voyelle,2P+1N
菹,zu1,z,u,Simple,oral,1,0,z,Sifflante,1P+2N
菺,jian1,j,ian,Médiale-i,nasal,1,1,j,Palatale,1P+2N
菻,lin3,l,in,Médiale-i,nasal,3,1,l,Dentale,3P
菼,tan3,t,an,Nasal,nasal,3,1,t,Dentale,3P
菽,shu1,sh,u,Simple,oral,1,0,sh,Rétroflexe,1P+2N
菾,tian2,t,ian,Médiale-i,nasal,2,1,t,Dentale,3P
萁,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
萃,cui4,c,ui,Médiale-u,oral,4,0,c,Sifflante,1P+2N
萄,tao5,t,ao,Simple,oral,5,0,t,Dentale,3P
萅,chun1,ch,un,Médiale-u,nasal,1,1,ch,Rétroflexe,3P
萆,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
萋,qi1,q,i,Simple,oral,1,0,q,Palatale,2P+1N
萌,meng2,m,eng,Nasal,nasal,2,1,m,Labiale,1P+2N
萍,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
萎,wei3,w,ui,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
萏,dan4,d,an,Nasal,nasal,4,1,d,Dentale,1P+2N
萐,sha4,sh,a,Simple,oral,4,0,sh,Rétroflexe,1P+2N
萑,huan2,h,uan,Médiale-u,nasal,2,1,h,Vélaire,2P+1N
萕,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
萘,nai4,n,ai,Simple,oral,4,0,n,Dentale,1P+2N
萚,tuo4,t,uo,Médiale-u,oral,4,0,t,Dentale,3P
萜,tie1,t,ie,Médiale-i,oral,1,0,t,Dentale,3P
萝,luo2,l,uo,Médiale-u,oral,2,0,l,Dentale,3P
萣,ding4,d,ing,Médiale-i,nasal,4,1,d,Dentale,1P+2N
萤,ying2,y,ing,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
营,ying2,y,ing,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
萦,ying2,y,ing,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
萧,xiao1,x,iao,Médiale-i,oral,1,0,x,Palatale,1P+2N
萨,sa4,s,a,Simple,oral,4,0,s,Sifflante,1P+2N
萩,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
萮,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
萰,lian4,l,ian,Médiale-i,nasal,4,1,l,Dentale,3P
萱,xuan1,x,üan,Complexe,nasal,1,1,x,Palatale,1P+2N
萸,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
萹,bian1,b,ian,Médiale-i,nasal,1,1,b,Labiale,1P+2N
萻,an1,,an,Nasal,nasal,1,1,Ø,Zero,3N
萼,e4,,e,Simple,oral,4,0,Ø,Zero,3N
落,la4,l,a,Simple,oral,4,0,l,Dentale,3P
葄,zuo4,z,uo,Médiale-u,oral,4,0,z,Sifflante,1P+2N
葅,zu1,z,u,Simple,oral,1,0,z,Sifflante,1P+2N
葆,bao3,b,ao,Simple,oral,3,0,b,Labiale,1P+2N
葇,rou2,r,ou,Simple,oral,2,0,r,Rétroflexe,1P+2N
葍,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
葎,lu:4,l,ü,Simple,oral,4,0,l,Dentale,3P
葑,feng1,f,eng,Nasal,nasal,1,1,f,Labiale,2P+1N
葖,tu1,t,u,Simple,oral,1,0,t,Dentale,3P
著,zhu4,zh,u,Simple,oral,4,0,zh,Rétroflexe,1P+2N
葙,xiang1,x,iang,Médiale-i,nasal,1,1,x,Palatale,1P+2N
葚,shen4,sh,en,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
葛,ge3,g,e,Simple,oral,3,0,g,Vélaire,1P+2N
葜,qia1,q,ia,Médiale-i,oral,1,0,q,Palatale,2P+1N
葡,pu2,p,u,Simple,oral,2,0,p,Labiale,2P+1N
董,dong3,d,ong,Médiale-u,nasal,3,1,d,Dentale,1P+2N
葥,qian2,q,ian,Médiale-i,nasal,2,1,q,Palatale,2P+1N
葧,bo2,b,o,Simple,oral,2,0,b,Labiale,1P+2N
葩,pa1,p,a,Simple,oral,1,0,p,Labiale,2P+1N
葫,hu2,h,u,Simple,oral,2,0,h,Vélaire,2P+1N
葬,zang4,z,ang,Nasal,nasal,4,1,z,Sifflante,1P+2N
葭,jia1,j,ia,Médiale-i,oral,1,0,j,Palatale,1P+2N
葱,cong1,c,ong,Médiale-u,nasal,1,1,c,Sifflante,1P+2N
葳,wei1,w,ui,Médiale-u,oral,1,0,w,Semi-voyelle,2P+1N
葴,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
葵,kui2,k,ui,Médiale-u,oral,2,0,k,Vélaire,1P+2N
葶,ting2,t,ing,Médiale-i,nasal,2,1,t,Dentale,3P
葸,xi3,x,i,Simple,oral,3,0,x,Palatale,1P+2N
葹,shi1,sh,i,Simple,oral,1,0,sh,Rétroflexe,1P+2N
葺,qi4,q,i,Simple,oral,4,0,q,Palatale,2P+1N
葽,yao1,y,iao,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
蒂,di4,d,i,Simple,oral,4,0,d,Dentale,1P+2N
蒄,guan1,g,uan,Médiale-u,nasal,1,1,g,Vélaire,1P+2N
蒇,chan3,ch,an,Nasal,nasal,3,1,ch,Rétroflexe,3P
蒉,kui4,k,ui,Médiale-u,oral,4,0,k,Vélaire,1P+2N
蒋,jiang3,j,iang,Médiale-i,nasal,3,1,j,Palatale,1P+2N
蒌,lou2,l,ou,Simple,oral,2,0,l,Dentale,3P
蒎,pai4,p,ai,Simple,oral,4,0,p,Labiale,2P+1N
蒐,sou1,s,ou,Simple,oral,1,0,s,Sifflante,1P+2N
蒗,lang4,l,ang,Nasal,nasal,4,1,l,Dentale,3P
蒙,meng2,m,eng,Nasal,nasal,2,1,m,Labiale,1P+2N
蒜,suan4,s,uan,Médiale-u,nasal,4,1,s,Sifflante,1P+2N
蒟,ju3,j,ü,Simple,oral,3,0,j,Palatale,1P+2N
蒡,bang4,b,ang,Nasal,nasal,4,1,b,Labiale,1P+2N
蒢,chu2,ch,u,Simple,oral,2,0,ch,Rétroflexe,3P
蒦,huo4,h,uo,Médiale-u,oral,4,0,h,Vélaire,2P+1N
蒨,qian4,q,ian,Médiale-i,nasal,4,1,q,Palatale,2P+1N
蒪,po4,p,o,Simple,oral,4,0,p,Labiale,2P+1N
蒭,chu2,ch,u,Simple,oral,2,0,ch,Rétroflexe,3P
蒯,kuai3,k,uai,Médiale-u,oral,3,0,k,Vélaire,1P+2N
蒱,pu2,p,u,Simple,oral,2,0,p,Labiale,2P+1N
蒲,pu2,p,u,Simple,oral,2,0,p,Labiale,2P+1N
蒴,shuo4,sh,uo,Médiale-u,oral,4,0,sh,Rétroflexe,1P+2N
蒸,zheng1,zh,eng,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
蒹,jian1,j,ian,Médiale-i,nasal,1,1,j,Palatale,1P+2N
蒺,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
蒻,ruo4,r,uo,Médiale-u,oral,4,0,r,Rétroflexe,1P+2N
蒽,en1,,en,Nasal,nasal,1,1,Ø,Zero,3N
蒿,hao1,h,ao,Simple,oral,1,0,h,Vélaire,2P+1N
蓁,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
蓂,mi4,m,i,Simple,oral,4,0,m,Labiale,1P+2N
蓄,xu4,x,ü,Simple,oral,4,0,x,Palatale,1P+2N
蓇,gu1,g,u,Simple,oral,1,0,g,Vélaire,1P+2N
蓉,rong2,r,ong,Médiale-u,nasal,2,1,r,Rétroflexe,1P+2N
蓊,weng3,w,ong,Médiale-u,nasal,3,1,w,Semi-voyelle,2P+1N
蓌,cuo4,c,uo,Médiale-u,oral,4,0,c,Sifflante,1P+2N
蓍,shi1,sh,i,Simple,oral,1,0,sh,Rétroflexe,1P+2N
蓏,luo3,l,uo,Médiale-u,oral,3,0,l,Dentale,3P
蓐,ru4,r,u,Simple,oral,4,0,r,Rétroflexe,1P+2N
蓑,suo1,s,uo,Médiale-u,oral,1,0,s,Sifflante,1P+2N
蓒,xuan1,x,üan,Complexe,nasal,1,1,x,Palatale,1P+2N
蓓,bei4,b,ei,Simple,oral,4,0,b,Labiale,1P+2N
蓔,yao3,y,iao,Médiale-i,oral,3,0,y,Semi-voyelle,2P+1N
蓖,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
蓝,lan2,l,an,Nasal,nasal,2,1,l,Dentale,3P
蓟,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
蓠,li2,l,i,Simple,oral,2,0,l,Dentale,3P
蓣,yu4,y,ü,Simple,oral,4,0,y,Semi-voyelle,2P+1N
蓥,ying2,y,ing,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
蓦,mo4,m,o,Simple,oral,4,0,m,Labiale,1P+2N
蓧,diao4,d,iao,Médiale-i,oral,4,0,d,Dentale,1P+2N
蓪,tong1,t,ong,Médiale-u,nasal,1,1,t,Dentale,3P
蓫,zhu2,zh,u,Simple,oral,2,0,zh,Rétroflexe,1P+2N
蓬,peng1,p,eng,Nasal,nasal,1,1,p,Labiale,2P+1N
蓰,xi3,x,i,Simple,oral,3,0,x,Palatale,1P+2N
蓱,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
蓷,tui1,t,ui,Médiale-u,oral,1,0,t,Dentale,3P
蓸,cao2,c,ao,Simple,oral,2,0,c,Sifflante,1P+2N
蓺,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
蓼,liao3,l,iao,Médiale-i,oral,3,0,l,Dentale,3P
蓿,xu5,x,ü,Simple,oral,5,0,x,Palatale,1P+2N
蔀,bu4,b,u,Simple,oral,4,0,b,Labiale,1P+2N
蔂,lei2,l,ei,Simple,oral,2,0,l,Dentale,3P
蔃,qiang2,q,iang,Médiale-i,nasal,2,1,q,Palatale,2P+1N
蔇,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
蔉,gun3,g,un,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
蔊,han3,h,an,Nasal,nasal,3,1,h,Vélaire,2P+1N
蔋,di2,d,i,Simple,oral,2,0,d,Dentale,1P+2N
蔌,su4,s,u,Simple,oral,4,0,s,Sifflante,1P+2N
蔎,she4,sh,e,Simple,oral,4,0,sh,Rétroflexe,1P+2N
蔑,mie4,m,ie,Médiale-i,oral,4,0,m,Labiale,1P+2N
蔓,man4,m,an,Nasal,nasal,4,1,m,Labiale,1P+2N
蔗,zhe4,zh,e,Simple,oral,4,0,zh,Rétroflexe,1P+2N
蔘,shen1,sh,en,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
蔙,xuan4,x,üan,Complexe,nasal,4,1,x,Palatale,1P+2N
蔚,wei4,w,ui,Médiale-u,oral,4,0,w,Semi-voyelle,2P+1N
蔟,cu4,c,u,Simple,oral,4,0,c,Sifflante,1P+2N
蔡,cai4,c,ai,Simple,oral,4,0,c,Sifflante,1P+2N
蔫,nian1,n,ian,Médiale-i,nasal,1,1,n,Dentale,1P+2N
蔬,shu1,sh,u,Simple,oral,1,0,sh,Rétroflexe,1P+2N
蔯,chen2,ch,en,Nasal,nasal,2,1,ch,Rétroflexe,3P
蔳,qian4,q,ian,Médiale-i,nasal,4,1,q,Palatale,2P+1N
蔵,cang2,c,ang,Nasal,nasal,2,1,c,Sifflante,1P+2N
蔷,qiang2,q,iang,Médiale-i,nasal,2,1,q,Palatale,2P+1N
蔸,dou1,d,ou,Simple,oral,1,0,d,Dentale,1P+2N
蔹,lian3,l,ian,Médiale-i,nasal,3,1,l,Dentale,3P
蔺,lin4,l,in,Médiale-i,nasal,4,1,l,Dentale,3P
蔻,kou4,k,ou,Simple,oral,4,0,k,Vélaire,1P+2N
蔼,ai3,,ai,Simple,oral,3,0,Ø,Zero,3N
蔽,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
蔾,li2,l,i,Simple,oral,2,0,l,Dentale,3P
蕃,bo1,b,o,Simple,oral,1,0,b,Labiale,1P+2N
蕈,xun4,x,ün,Complexe,nasal,4,1,x,Palatale,1P+2N
蕉,jiao1,j,iao,Médiale-i,oral,1,0,j,Palatale,1P+2N
蕊,rui3,r,ui,Médiale-u,oral,3,0,r,Rétroflexe,1P+2N
蕍,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
蕐,hua2,h,ua,Médiale-u,oral,2,0,h,Vélaire,2P+1N
蕑,jian1,j,ian,Médiale-i,nasal,1,1,j,Palatale,1P+2N
蕔,bao1,b,ao,Simple,oral,1,0,b,Labiale,1P+2N
蕖,qu2,q,ü,Simple,oral,2,0,q,Palatale,2P+1N
蕗,lu4,l,u,Simple,oral,4,0,l,Dentale,3P
蕙,hui4,h,ui,Médiale-u,oral,4,0,h,Vélaire,2P+1N
蕝,jue2,j,üe,Complexe,oral,2,0,j,Palatale,1P+2N
蕞,zui4,z,ui,Médiale-u,oral,4,0,z,Sifflante,1P+2N
蕠,ru2,r,u,Simple,oral,2,0,r,Rétroflexe,1P+2N
蕡,fen2,f,en,Nasal,nasal,2,1,f,Labiale,2P+1N
蕣,shun4,sh,un,Médiale-u,nasal,4,1,sh,Rétroflexe,1P+2N
蕤,rui2,r,ui,Médiale-u,oral,2,0,r,Rétroflexe,1P+2N
蕨,jue2,j,üe,Complexe,oral,2,0,j,Palatale,1P+2N
蕮,xi4,x,i,Simple,oral,4,0,x,Palatale,1P+2N
蕰,yun4,y,ün,Complexe,nasal,4,1,y,Semi-voyelle,2P+1N
蕲,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
蕳,jian1,j,ian,Médiale-i,nasal,1,1,j,Palatale,1P+2N
蕴,yun4,y,ün,Complexe,nasal,4,1,y,Semi-voyelle,2P+1N
蕶,ling2,l,ing,Médiale-i,nasal,2,1,l,Dentale,3P
蕸,xia2,x,ia,Médiale-i,oral,2,0,x,Palatale,1P+2N
蕹,weng4,w,ong,Médiale-u,nasal,4,1,w,Semi-voyelle,2P+1N
蕺,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
蕻,hong2,h,ong,Médiale-u,nasal,2,1,h,Vélaire,2P+1N
蕾,lei3,l,ei,Simple,oral,3,0,l,Dentale,3P
薁,yu4,y,ü,Simple,oral,4,0,y,Semi-voyelle,2P+1N
薃,hao4,h,ao,Simple,oral,4,0,h,Vélaire,2P+1N
薄,bo2,b,o,Simple,oral,2,0,b,Labiale,1P+2N
薅,hao1,h,ao,Simple,oral,1,0,h,Vélaire,2P+1N
薆,ai4,,ai,Simple,oral,4,0,Ø,Zero,3N
薇,wei1,w,ui,Médiale-u,oral,1,0,w,Semi-voyelle,2P+1N
薉,wei4,w,ui,Médiale-u,oral,4,0,w,Semi-voyelle,2P+1N
薏,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
薐,leng2,l,eng,Nasal,nasal,2,1,l,Dentale,3P
薖,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
薛,xue1,x,üe,Complexe,oral,1,0,x,Palatale,1P+2N
薜,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
薠,fan2,f,an,Nasal,nasal,2,1,f,Labiale,2P+1N
薢,xiao4,x,iao,Médiale-i,oral,4,0,x,Palatale,1P+2N
薤,xie4,x,ie,Médiale-i,oral,4,0,x,Palatale,1P+2N
薧,kao3,k,ao,Simple,oral,3,0,k,Vélaire,1P+2N
薨,hong1,h,ong,Médiale-u,nasal,1,1,h,Vélaire,2P+1N
薪,xin1,x,in,Médiale-i,nasal,1,1,x,Palatale,1P+2N
薫,xun1,x,ün,Complexe,nasal,1,1,x,Palatale,1P+2N
薬,yao4,y,iao,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
薮,sou3,s,ou,Simple,oral,3,0,s,Sifflante,1P+2N
薯,shu3,sh,u,Simple,oral,3,0,sh,Rétroflexe,1P+2N
薰,xun1,x,ün,Complexe,nasal,1,1,x,Palatale,1P+2N
薳,wei3,w,ui,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
薶,mai2,m,ai,Simple,oral,2,0,m,Labiale,1P+2N
薷,ru2,r,u,Simple,oral,2,0,r,Rétroflexe,1P+2N
薸,piao1,p,iao,Médiale-i,oral,1,0,p,Labiale,2P+1N
薹,tai2,t,ai,Simple,oral,2,0,t,Dentale,3P
薻,zao3,z,ao,Simple,oral,3,0,z,Sifflante,1P+2N
薽,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
薿,ni3,n,i,Simple,oral,3,0,n,Dentale,1P+2N
藁,gao3,g,ao,Simple,oral,3,0,g,Vélaire,1P+2N
藄,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
藇,xu4,x,ü,Simple,oral,4,0,x,Palatale,1P+2N
藉,jie4,j,ie,Médiale-i,oral,4,0,j,Palatale,1P+2N
藊,bian3,b,ian,Médiale-i,nasal,3,1,b,Labiale,1P+2N
藋,diao4,d,iao,Médiale-i,oral,4,0,d,Dentale,1P+2N
藏,zang4,z,ang,Nasal,nasal,4,1,z,Sifflante,1P+2N
藐,miao3,m,iao,Médiale-i,oral,3,0,m,Labiale,1P+2N
藒,qie4,q,ie,Médiale-i,oral,4,0,q,Palatale,2P+1N
藓,xian3,x,ian,Médiale-i,nasal,3,1,x,Palatale,1P+2N
藕,ou3,,ou,Simple,oral,3,0,Ø,Zero,3N
藘,lu:2,l,ü,Simple,oral,2,0,l,Dentale,3P
藙,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
藚,xu4,x,ü,Simple,oral,4,0,x,Palatale,1P+2N
藜,li2,l,i,Simple,oral,2,0,l,Dentale,3P
藟,lei3,l,ei,Simple,oral,3,0,l,Dentale,3P
藠,jiao4,j,iao,Médiale-i,oral,4,0,j,Palatale,1P+2N
藤,teng2,t,eng,Nasal,nasal,2,1,t,Dentale,3P
藦,mo2,m,o,Simple,oral,2,0,m,Labiale,1P+2N
藨,pao1,p,ao,Simple,oral,1,0,p,Labiale,2P+1N
藩,fan1,f,an,Nasal,nasal,1,1,f,Labiale,2P+1N
藳,gao3,g,ao,Simple,oral,3,0,g,Vélaire,1P+2N
藴,yun4,y,ün,Complexe,nasal,4,1,y,Semi-voyelle,2P+1N
藻,zao3,z,ao,Simple,oral,3,0,z,Sifflante,1P+2N
藾,lai4,l,ai,Simple,oral,4,0,l,Dentale,3P
藿,huo4,h,uo,Médiale-u,oral,4,0,h,Vélaire,2P+1N
蘁,wu4,w,u,Simple,oral,4,0,w,Semi-voyelle,2P+1N
蘅,heng2,h,eng,Nasal,nasal,2,1,h,Vélaire,2P+1N
蘑,mo2,m,o,Simple,oral,2,0,m,Labiale,1P+2N
蘖,nie4,n,ie,Médiale-i,oral,4,0,n,Dentale,1P+2N
蘗,bo4,b,o,Simple,oral,4,0,b,Labiale,1P+2N
蘘,rang2,r,ang,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
蘝,lian3,l,ian,Médiale-i,nasal,3,1,l,Dentale,3P
蘧,qu2,q,ü,Simple,oral,2,0,q,Palatale,2P+1N
蘩,fan2,f,an,Nasal,nasal,2,1,f,Labiale,2P+1N
蘵,zhi2,zh,i,Simple,oral,2,0,zh,Rétroflexe,1P+2N
蘸,zhan4,zh,an,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
蘻,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
蘼,mi2,m,i,Simple,oral,2,0,m,Labiale,1P+2N
虀,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
虍,hu1,h,u,Simple,oral,1,0,h,Vélaire,2P+1N
虎,hu3,h,u,Simple,oral,3,0,h,Vélaire,2P+1N
虏,lu3,l,u,Simple,oral,3,0,l,Dentale,3P
虐,nu:e4,n,üe,Complexe,oral,4,0,n,Dentale,1P+2N
虑,lu:4,l,ü,Simple,oral,4,0,l,Dentale,3P
虒,si1,s,i,Simple,oral,1,0,s,Sifflante,1P+2N
虓,xiao1,x,iao,Médiale-i,oral,1,0,x,Palatale,1P+2N
虔,qian2,q,ian,Médiale-i,nasal,2,1,q,Palatale,2P+1N
虖,hu1,h,u,Simple,oral,1,0,h,Vélaire,2P+1N
虗,xu1,x,ü,Simple,oral,1,0,x,Palatale,1P+2N
虙,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
虚,xu1,x,ü,Simple,oral,1,0,x,Palatale,1P+2N
虞,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
虡,ju4,j,ü,Simple,oral,4,0,j,Palatale,1P+2N
虢,guo2,g,uo,Médiale-u,oral,2,0,g,Vélaire,1P+2N
虣,bao4,b,ao,Simple,oral,4,0,b,Labiale,1P+2N
虥,zhan4,zh,an,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
虩,xi4,x,i,Simple,oral,4,0,x,Palatale,1P+2N
虫,chong2,ch,ong,Médiale-u,nasal,2,1,ch,Rétroflexe,3P
虬,qiu2,q,iu,Médiale-i,oral,2,0,q,Palatale,2P+1N
虮,ji3,j,i,Simple,oral,3,0,j,Palatale,1P+2N
虰,ding1,d,ing,Médiale-i,nasal,1,1,d,Dentale,1P+2N
虱,shi1,sh,i,Simple,oral,1,0,sh,Rétroflexe,1P+2N
虷,gan1,g,an,Nasal,nasal,1,1,g,Vélaire,1P+2N
虸,zi3,z,i,Simple,oral,3,0,z,Sifflante,1P+2N
虹,hong2,h,ong,Médiale-u,nasal,2,1,h,Vélaire,2P+1N
虺,hui1,h,ui,Médiale-u,oral,1,0,h,Vélaire,2P+1N
虻,meng2,m,eng,Nasal,nasal,2,1,m,Labiale,1P+2N
虼,ge4,g,e,Simple,oral,4,0,g,Vélaire,1P+2N
虽,sui1,s,ui,Médiale-u,oral,1,0,s,Sifflante,1P+2N
虾,xia1,x,ia,Médiale-i,oral,1,0,x,Palatale,1P+2N
虿,chai4,ch,ai,Simple,oral,4,0,ch,Rétroflexe,3P
蚀,shi2,sh,i,Simple,oral,2,0,sh,Rétroflexe,1P+2N
蚁,yi3,y,i,Simple,oral,3,0,y,Semi-voyelle,2P+1N
蚂,ma4,m,a,Simple,oral,4,0,m,Labiale,1P+2N
蚃,xiang3,x,iang,Médiale-i,nasal,3,1,x,Palatale,1P+2N
蚄,fang1,f,ang,Nasal,nasal,1,1,f,Labiale,2P+1N
蚆,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
蚈,qian1,q,ian,Médiale-i,nasal,1,1,q,Palatale,2P+1N
蚉,wen2,w,un,Médiale-u,nasal,2,1,w,Semi-voyelle,2P+1N
蚊,wen2,w,un,Médiale-u,nasal,2,1,w,Semi-voyelle,2P+1N
蚋,rui4,r,ui,Médiale-u,oral,4,0,r,Rétroflexe,1P+2N
蚌,bang4,b,ang,Nasal,nasal,4,1,b,Labiale,1P+2N
蚍,pi2,p,i,Simple,oral,2,0,p,Labiale,2P+1N
蚓,yin3,y,in,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
蚔,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
蚕,can2,c,an,Nasal,nasal,2,1,c,Sifflante,1P+2N
蚖,yuan2,y,üan,Complexe,nasal,2,1,y,Semi-voyelle,2P+1N
蚛,zhong4,zh,ong,Médiale-u,nasal,4,1,zh,Rétroflexe,1P+2N
蚜,ya2,y,ia,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
蚝,hao2,h,ao,Simple,oral,2,0,h,Vélaire,2P+1N
蚡,fen2,f,en,Nasal,nasal,2,1,f,Labiale,2P+1N
蚣,gong1,g,ong,Médiale-u,nasal,1,1,g,Vélaire,1P+2N
蚤,zao3,z,ao,Simple,oral,3,0,z,Sifflante,1P+2N
蚦,ran2,r,an,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
蚧,jie4,j,ie,Médiale-i,oral,4,0,j,Palatale,1P+2N
蚨,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
蚩,chi1,ch,i,Simple,oral,1,0,ch,Rétroflexe,3P
蚪,dou3,d,ou,Simple,oral,3,0,d,Dentale,1P+2N
蚬,xian3,x,ian,Médiale-i,nasal,3,1,x,Palatale,1P+2N
蚯,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
蚰,you2,y,iu,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
蚱,zha5,zh,a,Simple,oral,5,0,zh,Rétroflexe,1P+2N
蚲,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
蚳,chi2,ch,i,Simple,oral,2,0,ch,Rétroflexe,3P
蚴,you4,y,iu,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
蚵,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
蚶,han1,h,an,Nasal,nasal,1,1,h,Vélaire,2P+1N
蚹,fu4,f,u,Simple,oral,4,0,f,Labiale,2P+1N
蚺,ran2,r,an,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
蚻,zha2,zh,a,Simple,oral,2,0,zh,Rétroflexe,1P+2N
蚽,pi2,p,i,Simple,oral,2,0,p,Labiale,2P+1N
蚿,xian2,x,ian,Médiale-i,nasal,2,1,x,Palatale,1P+2N
蛀,zhu4,zh,u,Simple,oral,4,0,zh,Rétroflexe,1P+2N
蛁,diao1,d,iao,Médiale-i,oral,1,0,d,Dentale,1P+2N
蛄,gu3,g,u,Simple,oral,3,0,g,Vélaire,1P+2N
蛅,ran2,r,an,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
蛆,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
蛇,she2,sh,e,Simple,oral,2,0,sh,Rétroflexe,1P+2N
蛉,ling2,l,ing,Médiale-i,nasal,2,1,l,Dentale,3P
蛊,gu3,g,u,Simple,oral,3,0,g,Vélaire,1P+2N
蛋,dan4,d,an,Nasal,nasal,4,1,d,Dentale,1P+2N
蛌,gu3,g,u,Simple,oral,3,0,g,Vélaire,1P+2N
蛍,ying2,y,ing,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
蛎,li4,l,i,Simple,oral,4,0,l,Dentale,3P
蛏,cheng1,ch,eng,Nasal,nasal,1,1,ch,Rétroflexe,3P
蛐,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
蛑,mou2,m,ou,Simple,oral,2,0,m,Labiale,1P+2N
